0.00255	6704.56	17.91
0.00262	6392.24	17.336
0.00268	6194.08	16.748
0.00275	5991.76	16.437
0.00282	5693.78	15.926
0.00289	5507.82	15.193
0.00295	5292.8	14.811
0.00302	5151.58	14.454
0.00309	4892.4	13.937
0.00316	4718.32	13.687
0.00323	4508.14	13.019
0.00329	4393.38	12.747
0.00336	4161.82	12.367
0.00343	4055.04	11.976
0.0035	3918.64	11.737
0.00357	3728.78	11.361
0.00363	3587.38	11.06
0.0037	3425.28	10.602
0.00377	3295.08	10.354
0.00384	3142.68	9.9977
0.00391	3012	9.7197
0.00397	2902.22	9.5278
0.00404	2795.52	9.2248
0.00411	2688.9	8.9517
0.00418	2547.76	8.5905
0.00424	2443.04	8.4553
0.00431	2343.74	8.1976
0.00438	2230.52	7.8499
0.00445	2159.14	7.7421
0.00452	2026.58	7.4106
0.00458	1960.656	7.2546
0.00465	1857.614	6.9394
0.00472	1777.434	6.8271
0.00479	1701.662	6.6266
0.00486	1632.408	6.4322
0.00492	1557.948	6.2421
0.00499	1489.848	6.038
0.00506	1434.2	5.9178
0.00513	1375.016	5.7211
0.0052	1307.736	5.5331
0.00526	1254.27	5.4413
0.00533	1179.316	5.2011
0.0054	1118.066	5.0338
0.00547	1078.15	4.9138
0.00554	1039.454	4.7872
0.0056	1006.326	4.7195
0.00567	946.938	4.5385
0.00574	890.77	4.3603
0.00581	867.73	4.2636
0.00588	811.918	4.1166
0.00594	804.678	4.102
0.00601	751.58	3.9003
0.00608	720.146	3.8178
0.00615	667.2	3.6553
0.00621	654.266	3.5976
0.00628	623.046	3.5046
0.00635	593.418	3.3568
0.00642	580.704	3.3516
0.00649	542.484	3.1935
0.00655	525.562	3.1511
0.00662	494.392	3.0213
0.00669	480.428	2.9591
0.00676	460.734	2.9095
0.00683	427.454	2.7669
0.00689	426.12	2.7626
0.00696	400.394	2.7014
0.00703	401.304	2.7377
0.0071	383.45	2.6871
0.00717	350.306	2.5495
0.00723	336.386	2.5106
0.0073	328.556	2.4833
0.00737	304.496	2.3966
0.00744	294.946	2.3568
0.00751	292.238	2.3363
0.00757	269.348	2.2485
0.00764	263.866	2.2127
0.00771	253.008	2.1738
0.00778	249.742	2.1651
0.00784	225.292	2.0412
0.00791	227.082	2.0611
0.00798	210.038	1.9614
